                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9843,                 1.6693,                 1.2996,                0.63509,                0.77248,                0.73456,                0.35442,                 1.9045,                 1.0859,                 1.3159,             0.00041016,             0.00041016,             0.00041016
                      2,                 1.8143,                 1.0288,                 1.2168,                0.72819,                0.65648,                0.78226,                0.39067,                 1.8092,                 1.0388,                 1.2696,             0.00081864,             0.00081864,             0.00081864
                      3,                 1.8071,                 1.0011,                 1.2116,                0.78887,                0.74961,                0.80424,                 0.3965,                 1.8683,                 1.0472,                 1.3218,              0.0012189,              0.0012189,              0.0012189
                      4,                 1.7893,                  0.942,                 1.2068,                 0.7998,                0.80605,                 0.8515,                0.43571,                 1.7962,                0.92783,                  1.268,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.7603,                0.92455,                 1.1959,                0.82683,                0.84338,                0.88135,                0.44932,                 1.7587,                0.89505,                 1.2529,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.7668,                0.89847,                 1.1967,                0.80869,                0.85402,                0.87511,                0.45828,                 1.7663,                0.86833,                 1.2593,              0.0011881,              0.0011881,              0.0011881
                      7,                  1.751,                0.88355,                 1.1843,                0.83436,                0.88274,                0.91421,                0.50108,                 1.7352,                 0.8332,                 1.2329,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.7137,                0.84679,                 1.1633,                0.82953,                0.87037,                0.90006,                0.48226,                 1.7573,                0.85638,                 1.2504,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.7246,                0.83736,                 1.1675,                 0.8632,                0.86799,                0.91598,                0.50681,                 1.7219,                 0.8051,                 1.2306,               0.001151,               0.001151,               0.001151
                     10,                 1.7099,                0.82603,                  1.167,                0.86684,                0.84975,                0.90627,                0.47702,                 1.7298,                0.83425,                 1.2336,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.7183,                0.83562,                 1.1689,                0.80786,                 0.9081,                0.91752,                0.49519,                 1.7236,                0.79884,                 1.2265,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.6945,                0.83272,                 1.1617,                0.83676,                0.89807,                 0.9041,                0.48981,                 1.7255,                0.81017,                 1.2251,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.7087,                0.82854,                  1.173,                0.83646,                0.88137,                0.90706,                0.47202,                 1.7965,                0.83342,                 1.2605,              0.0011015,              0.0011015,              0.0011015
