                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 1.7005,                0.81869,                  1.156,                0.85219,                0.89557,                0.91481,                0.49816,                 1.7191,                0.83135,                 1.2267,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.7009,                0.79863,                 1.1619,                0.86794,                0.89121,                 0.9276,                0.51397,                 1.7108,                 0.8063,                 1.2297,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.6802,                0.79447,                 1.1518,                0.86144,                0.89274,                0.91984,                 0.5186,                 1.7222,                0.77022,                 1.2189,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.6824,                0.78908,                 1.1502,                0.87079,                0.87994,                0.91419,                0.50303,                 1.7254,                0.77974,                  1.229,               0.001052,               0.001052,               0.001052
                     18,                 1.6602,                0.77681,                 1.1428,                 0.8596,                0.87987,                0.92102,                0.51498,                 1.7028,                0.77114,                 1.2202,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.6652,                0.79254,                 1.1538,                0.84837,                0.91308,                0.92389,                0.51334,                 1.7311,                0.76173,                 1.2292,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.6632,                0.78174,                 1.1461,                0.85946,                0.92024,                0.92758,                0.51224,                 1.7234,                0.76302,                 1.2208,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.6492,                0.75578,                 1.1334,                0.85511,                0.92707,                0.92848,                  0.521,                 1.7008,                0.74945,                  1.216,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.6644,                 0.7661,                 1.1406,                0.86213,                0.87354,                0.90834,                0.49676,                 1.7263,                0.77216,                 1.2272,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.6423,                0.76485,                 1.1372,                0.88212,                0.90688,                0.93195,                0.52154,                 1.7109,                0.74682,                  1.214,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.6377,                0.75168,                 1.1413,                 0.8789,                0.89864,                0.93094,                0.52042,                 1.6989,                0.74948,                   1.22,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.6436,                0.75979,                 1.1383,                0.86472,                0.90308,                0.92898,                0.51834,                 1.7095,                0.76527,                 1.2274,               0.000953,               0.000953,               0.000953
                     26,                 1.6325,                0.75231,                 1.1292,                0.86933,                0.90765,                0.92981,                0.52435,                 1.7218,                0.76581,                 1.2288,             0.00094062,             0.00094062,             0.00094062
                     27,                  1.631,                0.75554,                 1.1238,                0.86542,                 0.9159,                0.92498,                 0.5104,                 1.7377,                0.76636,                 1.2335,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.6287,                0.74254,                 1.1296,                0.88504,                0.89591,                 0.9258,                0.52284,                 1.6959,                0.74701,                 1.2046,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.6212,                0.74799,                 1.1282,                0.88235,                 0.9065,                0.92853,                0.52449,                 1.7154,                0.73842,                 1.2237,              0.0009035,              0.0009035,              0.0009035
                     30,                  1.618,                0.74152,                 1.1232,                0.86445,                0.90624,                0.92956,                0.51661,                 1.7093,                0.75108,                 1.2197,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.6177,                0.72803,                 1.1207,                0.88038,                0.90344,                0.92754,                0.52824,                  1.689,                 0.7343,                 1.2108,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.6053,                0.72741,                 1.1163,                0.86236,                0.91463,                 0.9366,                0.53143,                 1.7043,                0.74222,                 1.2126,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.6012,                0.72132,                 1.1287,                0.86872,                0.90081,                0.92906,                0.51777,                 1.7118,                0.75315,                 1.2224,               0.000854,               0.000854,               0.000854
                     34,                 1.6082,                0.72737,                  1.121,                 0.8688,                 0.9095,                0.93143,                0.52294,                 1.7134,                0.74264,                 1.2163,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.6065,                 0.7256,                  1.114,                0.87177,                0.92084,                0.93414,                0.52833,                 1.6949,                 0.7363,                 1.2138,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.5841,                0.72251,                 1.1095,                0.87324,                0.91893,                0.93361,                0.52726,                 1.6984,                0.72901,                 1.2118,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.5776,                 0.7057,                 1.1077,                0.87868,                0.90213,                0.92824,                0.51945,                  1.695,                0.74152,                 1.2089,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.5806,                0.72057,                 1.1066,                0.87964,                0.92466,                0.93615,                0.52804,                 1.7139,                0.73246,                 1.2197,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.5753,                0.70686,                 1.1022,                0.85803,                0.92565,                0.92983,                0.51814,                 1.7072,                0.72557,                 1.2147,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.5753,                0.70511,                  1.103,                0.84782,                0.90712,                0.91157,                0.50072,                   1.75,                0.74118,                 1.2355,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.5652,                0.70432,                 1.1005,                0.86206,                0.93279,                0.93402,                0.52144,                 1.7041,                0.72451,                 1.2119,               0.000755,               0.000755,               0.000755
                     42,                 1.5634,                0.69849,                 1.0979,                0.87977,                0.91898,                0.93135,                0.52849,                 1.7031,                0.71456,                 1.2159,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.5426,                0.68743,                  1.086,                0.86529,                 0.9112,                0.93784,                 0.5241,                 1.7195,                0.72231,                 1.2179,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.5693,                 0.7006,                 1.0995,                0.87433,                0.92374,                0.93743,                 0.5367,                 1.6966,                0.71724,                 1.2124,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.5428,                0.68856,                 1.0968,                0.86947,                0.92534,                 0.9334,                0.52267,                 1.7238,                0.72172,                 1.2242,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.5616,                0.69112,                 1.1044,                0.86129,                0.91454,                0.92485,                0.52296,                 1.7064,                 0.7211,                 1.2165,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.5332,                0.68238,                 1.0859,                 0.8587,                0.92627,                0.93053,                0.51581,                 1.7355,                 0.7272,                 1.2329,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.5226,                0.67691,                 1.0875,                0.88869,                0.91842,                0.92655,                0.52163,                 1.7274,                0.72349,                 1.2233,             0.00066838,             0.00066838,             0.00066838
                     49,                  1.527,                0.68113,                 1.0921,                0.87128,                0.92325,                0.92842,                0.52964,                 1.7084,                0.71708,                 1.2212,               0.000656,               0.000656,               0.000656
                     50,                  1.522,                0.67692,                 1.0922,                0.87787,                0.92564,                0.93222,                0.52445,                 1.7189,                0.71544,                 1.2292,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.5304,                0.67765,                 1.0933,                0.88239,                0.90408,                0.93068,                0.52832,                 1.7216,                0.71244,                 1.2176,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.5118,                0.66634,                  1.086,                0.87848,                0.91332,                 0.9282,                0.52289,                 1.7293,                0.71688,                 1.2281,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.5025,                 0.6603,                  1.076,                0.87543,                0.92552,                0.93335,                0.52382,                 1.7236,                0.71036,                 1.2216,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.5045,                0.66829,                  1.077,                0.87477,                0.93641,                0.93459,                0.52743,                 1.7164,                0.70286,                  1.221,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.4953,                0.66097,                  1.081,                0.87892,                 0.9272,                0.92777,                0.53213,                  1.714,                0.70623,                 1.2176,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.4912,                0.65476,                 1.0751,                0.88975,                0.91722,                0.92697,                0.52429,                  1.719,                0.71196,                 1.2212,             0.00056938,             0.00056938,             0.00056938
                     57,                  1.485,                0.65292,                 1.0776,                0.89772,                0.90821,                0.92787,                0.52893,                  1.706,                0.71199,                 1.2269,               0.000557,               0.000557,               0.000557
                     58,                 1.4802,                0.65516,                 1.0746,                0.88403,                0.91435,                 0.9322,                0.53109,                 1.7151,                0.70602,                 1.2248,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.4869,                0.65852,                 1.0704,                 0.8899,                0.92087,                0.93438,                0.52872,                 1.7083,                0.70303,                 1.2273,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.4622,                0.64567,                  1.064,                0.87863,                0.91995,                0.92562,                0.52432,                 1.7264,                0.70017,                 1.2318,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.4538,                0.63669,                 1.0629,                0.88926,                0.91845,                0.93185,                0.52343,                 1.7394,                0.70754,                  1.238,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.4647,                 0.6445,                  1.068,                 0.8913,                 0.9111,                0.92545,                0.51473,                 1.7279,                0.70982,                 1.2298,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.4596,                0.64128,                 1.0621,                 0.8732,                0.91841,                0.92859,                0.52938,                 1.7199,                0.69897,                 1.2246,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.4484,                0.63923,                  1.065,                0.89102,                0.91908,                  0.933,                   0.53,                 1.7158,                0.70936,                 1.2324,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.4438,                0.63665,                 1.0543,                0.88057,                0.92352,                0.93071,                0.52401,                 1.7136,                0.69649,                  1.229,               0.000458,               0.000458,               0.000458
                     66,                 1.4331,                0.63048,                 1.0566,                0.88349,                0.92889,                   0.93,                0.52181,                 1.7253,                0.70347,                  1.236,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.4257,                0.62795,                 1.0535,                0.89024,                0.92389,                 0.9323,                0.52708,                 1.7222,                0.69054,                 1.2313,             0.00043325,             0.00043325,             0.00043325
                     68,                  1.407,                0.61657,                 1.0485,                0.89456,                0.91662,                0.93074,                 0.5261,                 1.7286,                0.69454,                 1.2335,             0.00042087,             0.00042087,             0.00042087
                     69,                  1.415,                0.62138,                 1.0525,                0.87586,                0.92868,                0.92979,                0.52738,                 1.7228,                0.69757,                 1.2328,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.3866,                 0.6114,                 1.0406,                0.88281,                0.91663,                0.92967,                0.52818,                 1.7203,                0.69911,                 1.2382,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.3975,                0.60981,                 1.0487,                0.87227,                0.92193,                0.92392,                0.52071,                 1.7347,                0.70442,                 1.2415,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.3971,                0.60844,                  1.042,                0.89052,                0.90536,                0.92776,                0.52517,                 1.7332,                0.69896,                 1.2356,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.3951,                0.60649,                 1.0417,                0.87738,                0.92466,                0.92909,                 0.5261,                 1.7322,                0.69693,                  1.244,               0.000359,               0.000359,               0.000359
                     74,                 1.3802,                0.60296,                 1.0398,                0.89138,                0.92015,                0.92988,                0.52233,                 1.7456,                0.69637,                 1.2491,             0.00034663,             0.00034663,             0.00034663
                     75,                 1.3681,                 0.6007,                 1.0342,                0.88454,                0.92005,                0.92664,                0.52651,                 1.7505,                0.69872,                 1.2565,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.3738,                0.59853,                 1.0353,                0.89017,                0.91783,                0.92697,                0.52369,                 1.7454,                0.70488,                 1.2517,             0.00032188,             0.00032188,             0.00032188
                     77,                 1.3622,                0.59675,                 1.0296,                0.89005,                0.91546,                0.92634,                0.52769,                 1.7406,                0.69962,                 1.2462,              0.0003095,              0.0003095,              0.0003095
                     78,                   1.35,                0.59616,                 1.0272,                0.88499,                 0.9223,                0.92695,                 0.5237,                 1.7469,                 0.6984,                 1.2567,             0.00029713,             0.00029713,             0.00029713
                     79,                 1.3456,                0.59034,                 1.0264,                 0.8867,                0.92174,                0.92451,                0.51881,                 1.7575,                0.70138,                 1.2592,             0.00028475,             0.00028475,             0.00028475
                     80,                 1.3474,                0.59089,                 1.0242,                 0.8821,                0.92209,                0.92242,                0.52456,                 1.7509,                0.70667,                 1.2571,             0.00027237,             0.00027237,             0.00027237
                     81,                 1.3277,                0.58066,                 1.0197,                0.87672,                0.92879,                0.92758,                0.52101,                 1.7636,                0.69823,                 1.2654,                0.00026,                0.00026,                0.00026
                     82,                  1.322,                0.58337,                  1.019,                0.88717,                0.91743,                0.92464,                0.51703,                 1.7646,                0.69876,                 1.2699,             0.00024762,             0.00024762,             0.00024762
                     83,                 1.3173,                0.58039,                 1.0116,                0.87795,                0.92389,                0.92445,                0.51998,                 1.7634,                 0.7047,                 1.2694,             0.00023525,             0.00023525,             0.00023525
                     84,                 1.3053,                0.57604,                 1.0132,                0.87953,                0.92732,                0.92578,                 0.5196,                  1.758,                0.70512,                 1.2675,             0.00022288,             0.00022288,             0.00022288
                     85,                  1.306,                0.57032,                 1.0173,                0.88911,                  0.922,                0.92862,                0.52515,                 1.7599,                0.69599,                 1.2674,              0.0002105,              0.0002105,              0.0002105
                     86,                 1.3073,                0.57311,                 1.0163,                0.87959,                0.91728,                 0.9261,                0.51244,                  1.775,                0.70528,                 1.2753,             0.00019813,             0.00019813,             0.00019813
                     87,                 1.2857,                0.56516,                 1.0029,                0.88792,                0.90918,                0.92412,                0.51899,                 1.7744,                0.70902,                 1.2765,             0.00018575,             0.00018575,             0.00018575
                     88,                 1.2854,                 0.5591,                 1.0009,                0.88697,                0.92516,                0.92808,                0.52326,                  1.768,                0.70417,                 1.2717,             0.00017338,             0.00017338,             0.00017338
                     89,                  1.275,                0.56586,                  1.001,                0.87712,                0.92044,                0.92296,                0.51995,                 1.7707,                 0.7066,                 1.2819,               0.000161,               0.000161,               0.000161
                     90,                 1.2817,                0.55755,                 1.0079,                 0.8792,                0.92432,                0.92543,                0.52087,                  1.775,                0.69783,                 1.2777,             0.00014862,             0.00014862,             0.00014862
                     91,                 1.2903,                0.55243,                  1.044,                0.87587,                0.92716,                 0.9215,                0.51675,                 1.7797,                0.70187,                 1.2809,             0.00013625,             0.00013625,             0.00013625
                     92,                 1.2612,                 0.5415,                 1.0247,                0.87638,                0.92179,                0.92144,                0.51758,                 1.7696,                0.70887,                 1.2873,             0.00012387,             0.00012387,             0.00012387
                     93,                 1.2492,                0.53684,                 1.0316,                 0.8771,                0.92398,                0.92434,                0.51607,                 1.7713,                0.70256,                 1.2859,              0.0001115,              0.0001115,              0.0001115
                     94,                 1.2351,                0.53118,                  1.026,                0.87406,                 0.9203,                0.92077,                0.51602,                 1.7734,                0.70837,                 1.2886,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                 1.2304,                0.52921,                 1.0209,                0.87729,                0.92129,                0.91999,                0.51644,                 1.7724,                0.70366,                 1.2911,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 1.2253,                0.52817,                 1.0171,                0.87777,                0.92135,                0.92176,                0.51816,                 1.7748,                0.70567,                 1.2945,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                 1.2143,                0.52323,                 1.0142,                0.87509,                0.92077,                0.92109,                0.51663,                 1.7787,                0.70554,                 1.2952,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 1.2034,                0.51982,                 1.0079,                0.87828,                0.91838,                0.92127,                0.51796,                 1.7781,                0.70892,                 1.2982,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                  1.198,                0.51747,                 1.0035,                0.87998,                0.91575,                0.92232,                0.51842,                 1.7813,                0.71007,                 1.3027,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                 1.1957,                0.51611,                 1.0102,                0.88061,                0.91673,                0.92232,                0.51999,                 1.7829,                0.70884,                 1.3023,             2.4875e-05,             2.4875e-05,             2.4875e-05
