                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5263,                 2.6538,                 1.5736,                0.47448,                0.82186,                0.60438,                0.38843,                 1.1468,                 4.3573,                 1.2343,                0.00014,                0.00014,                0.00014
                      2,                 1.1492,                 1.5016,                 1.2144,                0.62541,                0.66667,                0.67715,                0.25652,                 1.4877,                 3.7075,                  1.299,             0.00028812,             0.00028812,             0.00028812
                      3,                 1.1317,                 1.1344,                 1.1383,                0.81889,                0.89744,                0.90896,                0.60374,                 1.1522,                 1.6275,                 1.0822,             0.00042357,             0.00042357,             0.00042357
                      4,                 1.1035,                 1.0352,                 1.1179,                0.74587,                0.85897,                0.83381,                0.56074,                 1.2005,                 1.9287,                 1.1801,             0.00054634,             0.00054634,             0.00054634
                      5,                 1.0935,                0.96272,                 1.1274,                 0.7435,                0.84615,                0.85132,                0.56149,                 1.2259,                 2.0494,                 1.2096,             0.00065645,             0.00065645,             0.00065645
                      6,                 1.1038,                 0.9379,                 1.1518,                 0.7229,                0.78205,                0.78643,                0.48671,                 1.3141,                 2.2018,                 1.2953,             0.00075388,             0.00075388,             0.00075388
                      7,                 1.0862,                0.84993,                 1.1383,                 0.4508,                0.25641,                0.27869,                0.16378,                 2.1153,                 3.1342,                 2.1525,             0.00083864,             0.00083864,             0.00083864
                      8,                 1.0455,                0.79294,                 1.1223,                0.63327,                0.50923,                0.53439,                0.29368,                  1.502,                 2.3774,                 1.5077,             0.00091073,             0.00091073,             0.00091073
                      9,                 1.0644,                 0.7925,                 1.1348,                0.61823,                0.64103,                0.64253,                 0.4173,                 1.3542,                  2.455,                 1.3385,             0.00097014,             0.00097014,             0.00097014
                     10,                 1.0399,                 0.8208,                 1.1308,                0.25191,                 0.5483,                0.36986,                0.17376,                 1.5449,                 4.1967,                 1.5681,              0.0010169,              0.0010169,              0.0010169
                     11,                0.99107,                0.71718,                 1.1018,                0.44627,                0.70513,                0.66365,                0.37971,                 1.4978,                 4.3764,                 1.4851,               0.001051,               0.001051,               0.001051
                     12,                 1.0553,                0.73704,                 1.1154,                0.79036,                0.62836,                  0.755,                0.48028,                 1.2439,                 2.4812,                 1.2602,              0.0010724,              0.0010724,              0.0010724
                     13,                 1.0099,                0.74262,                 1.1216,                0.77089,                0.86279,                0.88562,                0.62465,                 1.0971,                 1.1244,                 1.1471,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.0108,                0.68804,                 1.1227,                0.75423,                0.86562,                0.84238,                 0.5759,                 1.1333,                 1.0388,                 1.1598,              0.0009704,              0.0009704,              0.0009704
                     15,                0.97367,                0.68169,                 1.0957,                0.82048,                0.82051,                0.88137,                0.60027,                 1.1743,                0.91774,                 1.1847,              0.0008912,              0.0008912,              0.0008912
                     16,                0.96677,                0.62559,                 1.0849,                0.81727,                 0.9175,                0.91786,                0.63092,                 1.1358,                0.90809,                 1.1885,               0.000812,               0.000812,               0.000812
                     17,                0.94655,                0.59568,                 1.0862,                0.80592,                0.94872,                0.91222,                0.63441,                 1.0892,                0.76097,                 1.1692,              0.0007328,              0.0007328,              0.0007328
                     18,                0.92483,                0.57909,                 1.0745,                0.82742,                0.92308,                0.88293,                0.60843,                 1.1006,                 0.8594,                 1.2108,              0.0006536,              0.0006536,              0.0006536
                     19,                0.92825,                0.58677,                 1.0907,                0.82839,                0.86645,                 0.9085,                 0.6312,                 1.0708,                0.88582,                 1.1837,              0.0005744,              0.0005744,              0.0005744
                     20,                0.92667,                0.58888,                 1.1095,                0.79943,                0.89744,                0.91095,                0.62888,                 1.1153,                0.83083,                  1.192,              0.0004952,              0.0004952,              0.0004952
                     21,                0.90525,                0.55591,                 1.0765,                0.82179,                0.92308,                0.93709,                0.64437,                 1.1656,                  0.729,                 1.2111,               0.000416,               0.000416,               0.000416
                     22,                 0.8867,                0.53282,                 1.0823,                0.81049,                0.93216,                0.93497,                0.65098,                 1.1277,                0.72859,                 1.1801,              0.0003368,              0.0003368,              0.0003368
                     23,                 0.8702,                0.53654,                 1.0649,                 0.8019,                0.93415,                0.92755,                 0.6481,                 1.0908,                0.71487,                 1.1871,              0.0002576,              0.0002576,              0.0002576
                     24,                0.89914,                 0.5392,                 1.0785,                0.81807,                0.92238,                0.91812,                0.63431,                 1.0952,                0.70977,                 1.1926,              0.0001784,              0.0001784,              0.0001784
                     25,                0.87981,                0.51208,                 1.0675,                0.81385,                 0.9359,                0.91127,                 0.6359,                 1.0892,                0.69485,                  1.186,               9.92e-05,               9.92e-05,               9.92e-05
